,name,info,multi_race,asian,hispanic,black,white,native_american
67,Shwetak Patel, Professor of Computer Science and Electrical Engineering at the University of Washington,,,,,,
68,Arogyaswami Paulraj, Professor of Electrical Engineering at Stanford University,,,,,,
69,Krishna Saraswat, Professor of Electrical Engineering at Stanford University,,,,,,
70,Ricky J. Sethi, Professor of Computer Science at Fitchburg State University; Director of Research at The Madsci Network,,,,,,
71,Amit Sheth, computer scientist at Wright State University in Dayton,,,,,,
72,Madhu Sudan, Professor of Computer Science at Harvard University,,,,,,
73,Umesh Vazirani, Professor of Electrical Engineering and Computer Science at the University of California,,,,,,
74,Vijay Vazirani, Professor of Computer Science at Georgia Institute of Technology,,,,,,
75,Nita Ahuja, Chief of Surgical oncology at Johns Hopkins Hospital,,,,,,
76,Kuzhikalail M. Abraham, professor at Northeastern University,,,,,,
77,Pulickel M. Ajayan, Professor of Material Science at Rice University,,,,,,
78,Salman Akhtar, professor at the Jefferson Medical College,,,,,,
79,Muzaffar Alam, Professor in South Asian Languages & Civilizations at the University of Chicago,,,,,,
80,Akhil Amar, Professor of Law at Yale Law School,,,,,,
81,Vikram Amar, Professor of Law at the University of California,,,,,,
82,Abhay Ashtekar, Professor of Physics at Pennsylvania State University,,,,,,
83,Satya N. Atluri, Professor of Mechanical & Aerospace Engineering at University of California,,,,,,
84,P.S. Ayyaswamy, Professor of Dynamical Engineering at the University of Pennsylvania,,,,,,
85,Mahzarin Banaji, professor at Harvard University,,,,,,
86,Homi K. Bhabha, professor at Harvard University,,,,,,
87,Sugata Bose, Professor of History at Harvard University,,,,,,
88,Ananda Mohan Chakrabarty, Professor of Microbiology at University of Illinois at Chicago,,,,,,
89,Naresh Dalal, Dirac Professor of Chemistry and Biochemistry at Florida State University,,,,,,
90,Aswath Damodaran, Professor of Finance at the Stern School of Business at New York University,,,,,,
91,Ashok Das, Professor of Physics at the University of Rochester,,,,,,
92,Ashok Gadgil, Professor in Civil and Environmental Engineering at the University of California,,,,,,
93,Rajit Gadh, Professor of Mechanical and Aerospace Engineering at University of California,,,,,,
94,Swapan K. Gayen, Professor of Physics at the City University of New York,,,,,,
95,Raj Mittra, an Electrical Engineering professor at Pennsylvania State University,,,,,,
96,Anirvan Ghosh, professor at the University of California,,,,,,
97,Vijay Govindarajan, Coxe Distinguished Professor at Dartmouth College’s Tuck School of Business and the Marvin Bower Fellow at Harvard Business School,,,,,,
98,Kausalya Hart, scholar of Tamil language at UC Berkeley,,,,,,
99,Narayan Hosmane, Professor of Chemistry and Biochemistry at Northern Illinois University,,,,,,
100,Ravi Jagannathan, professor at the Kellogg School of Management,,,,,,
101,Rakesh Jain, Professor of Tumor Biology at Massachusetts General Hospital in the Harvard Medical School,,,,,,
102,Jainendra K. Jain, Professor of Physics at Pennsylvania State University,,,,,,
103,Piyare Jain, Professor Emeritus at University at Buffalo,,,,,,
104,S. Lochlann Jain, associate professor in the Anthropology Department at Stanford University,,,,,,
105,Sachin H. Jain, physician and health policy analyst at Harvard Medical School,,,,,,
106,Nazir Jairazbhoy, Professor of folk and classical music of South Asia at University of California at Los Angeles,,,,,,
107,M. A. Muqtedar Khan, Associate Professor in the Department of Political Science and International Relations at the University of Delaware,,,,,,
108,Ravindra Khattree, professor of statistics at Oakland University,,,,,,
109,Shrinivas Kulkarni, professor of astrophysics and planetary science at Caltech,,,,,,
110,Jagadeesh Moodera, American physicist of Indian origin; senior research scientist at MIT's Francis Bitter Magnet Laboratory,,,,,,
111,Bharati Mukherjee, author,,,,,,
112,C. M. Naim, scholar of Urdu language and literature at the University of Chicago,,,,,,
113,Jaishree Odin, Professor,,,,,,
114,C.K. Prahalad, Professor of Corporate Strategy at the Stephen M. Ross School of Business in the University of Michigan,,,,,,
115,Vijay Prashad, Professor of International Studies at Trinity College,,,,,,
116,Ishwar K. Puri, N. Waldo Harrison Professor of Engineering Science and Mechanics at Virginia Tech,,,,,,
117,Anantanand Rambachan, Professor of Religion at St. Olaf College,,,,,,
118,Vilayanur S. Ramachandran, behavioral neurologist and psychophysicist; Professor with the Psychology and Neurosciences University of California,,,,,,
119,K. R. Rao, professor at University of Texas at Arlington,,,,,,
120,J. N. Reddy, Professor and holder of the Oscar S. Wyatt Endowed Chair in Mechanical Engineering at Texas A&M University,,,,,,
121,Subir Sachdev, Herchel Smith Professor of Physics at Harvard University; Dirac Medal and National Academy of Sciences,,,,,,
122,Deepak Sarma, Professor of Religious Studies at Case Western Reserve University,,,,,,
123,Jagdish Sheth, Professor of Marketing at Goizueta Business School of Emory University,,,,,,
124,Jagdish Shukla, professor at George Mason University,,,,,,
125,Gayatri Chakravorty Spivak, professor at Columbia University,,,,,,
126,Marti G. Subrahmanyam, Professor of Finance at the Stern School of Business at New York University,,,,,,
127,Sanjay Subrahmanyam, holder of Navin and Pratima Doshi Chair of Indian History and scholar at UCLA,,,,,,
128,Mriganka Sur, Professor of Neuroscience at the MIT,,,,,,
129,Medha Yodh, scholar of classical Indian dance at UCLA,,,,,,
130,Thomas Abraham, Founder President of the Global Organization of People of Indian Origin (GOPIO) as well as the National Federation of Indian American Associations (NFIA),,,,,,
131,Maya Ajmera, founder of The Global Fund for Children and author of more than 20 books for children,,,,,,
132,Bhairavi Desai, founding member of the Taxi Workers Alliance in New York,,,,,,
133,Kartar Dhillon, Ghadar Party,,,,,,
134,Mallika Dutt, Executive Director of Breakthrough human rights organization,,,,,,
135,Vijaya Lakshmi Emani (1958-2009), social activist,,,,,,
136,Arun Manilal Gandhi, fifth grandson of Mohandas Gandhi,,,,,,
137,Abraham George, philanthropist humanitarian,,,,,,
138,Gitanjali S. Gutierrez, lawyer who is defending Guantanamo prisoners,,,,,,
139,Maya Harris, Executive Director of the ACLU of Northern California and sister of Kamala Harris,,,,,,
140,Girindra Mukerji, leader of one of the first Indian-American student protests against colonialism in 1908,,,,,,
141,Kavita Ramdas, President and CEO of Global Fund for Women,,,,,,
142,Inder Singh, Chairman of the Global Organization of People of Indian Origin (GOPIO),,,,,,
143,Bhagat Singh Thind, civil rights figure,,,,,,
144,Urvashi Vaid, gay rights activist,,,,,,
145,Ashok Amritraj, Hollywood film producer,,,,,,
146,Salma Arastu, artist,,,,,,
147,San Banarje, independent filmmaker,,,,,,
148,Rina Banerjee, artist,,,,,,
149,Prashant Bhargava, director,,,,,,
150,Jay Chandrasekhar, director,,,,,,
151,Nina Davuluri, Miss America 2014,,,,,,
152,Param Gill, director,,,,,,
153,Kovid Gupta, bestselling author and screenwriter,,,,,,
154,Reef Karim, actor,,,,,,
155,Neeraj Khemlani, producer for CBS News' 60 Minutes,,,,,,
156,Bharti Kirchner, writer,,,,,,
157,Adam Bhala Lough, director,,,,,,
158,Tirlok Malik, filmmaker and actor,,,,,,
159,Benny Mathews, film and music video director,,,,,,
160,Faris McReynolds, painter and musician,,,,,,
161,Govindini Murty, co-founder of the Liberty film festival,,,,,,
162,Mira Nair, director and producer,,,,,,
163,Sunil Nayar, TV writer and producer; producer of CSI: Miami,,,,,,
164,Yatin Patel, photographer and artist,,,,,,
165,Mythili Prakash, Bharatanatyam dancer and choreographer,,,,,,
166,Asha Puthli, singer-songwriter,,,,,,
167,Sarayu Rao, actor and director,,,,,,
168,Harish Saluja, filmmaker,,,,,,
169,Stephanie Sengupta, producer and writer,,,,,,
170,Mehul Shah, actor,,,,,,
171,Adi Shankar, producer and actor,,,,,,
172,Naren Shankar, TV writer,,,,,,
173,M. Night Shyamalan, director,,,,,,
174,Tarsem Singh, director,,,,,,
175,Rohit Gupta, director,,,,,,
176,Manick Sorcar, animator,,,,,,
177,Babu Subramaniam, director,,,,,,
178,Tina Sugandh, entertainer,,,,,,
179,Julie Titus, model,,,,,,
180,Serena Varghese, voice actress,,,,,,
181,Ben Kingsley, actor,,,,,,
182,Ravi Patel, actor,,,,,,
183,Dev Patel, actor,,,,,,
184,Waris Ahluwalia, fashion designer,,,,,,
185,Aziz Ansari, actor and comedian,,,,,,
186,Gabrielle Anwar, actress,,,,,,
187,Tanveer K. Atwal, actress,,,,,,
188,Erick Avari, actor,,,,,,
189,Sunkrish Bala, actor,,,,,,
190,Firdous Bamji, actor,,,,,,
191,Purva Bedi, actress,,,,,,
192,Summer Bishil, actress,,,,,,
193,Karan Brar," film and TV actor on Disney (""Diary of a Wimpy Kid"")",,,,,,
194,Samrat Chakrabarti, actor,,,,,,
195,Melanie Chandra, actress,,,,,,
196,Rory Cochrane, actor,,,,,,
197,Sabu Dastagir, actor,,,,,,
198,Sujata Day, actress,,,,,,
199,Manish Dayal, actor,,,,,,
200,Noureen DeWulf, actress,,,,,,
201,Raja Fenske, actor,,,,,,
202,Janina Gavankar, actress,,,,,,
203,Namrata Singh Gujral, actress,,,,,,
204,Sakina Jaffrey, actress,,,,,,
205,Poorna Jagannathan, actress and producer,,,,,,
206,Mindy Kaling, actress,,,,,,
207,Ravi Kapoor, actor,,,,,,
208,Rahul Kohli, actor,,,,,,
209,Deep Katdare, actor,,,,,,
210,Nivedita Kulkarni, actress,,,,,,
211,Shishir Kurup, actor,,,,,,
212,Nakul Dev Mahajan, Bollywood dancer and choreographer,,,,,,
213,Tirlok Malik, actor,,,,,,
214,Shelly Malil, film and TV actor,,,,,,
215,Aasif Mandvi, actor,,,,,,
216,Sunita Mani, actress,,,,,,
217,Ajay Mehta, TV actor,,,,,,
218,Ajay Naidu, actor,,,,,,
219,Anjul Nigam, actor,,,,,,
220,Maulik Pancholy, actor,,,,,,
221,Devika Parikh, actress,,,,,,
222,Kal Penn, actor,,,,,,
223,Danny Pudi, actor,,,,,,
224,Ritesh Rajan, actor,,,,,,
225,Sendhil Ramamurthy, actor,,,,,,
226,Dileep Rao, actor,,,,,,
227,Navi Rawat, actress,,,,,,
228,Sonal Shah, actress,,,,,,
229,Sheetal Sheth, actress,,,,,,
230,Tiya Sircar, actress,,,,,,
231,Omi Vaidya, actor,,,,,,
232,Aziz Ansari,,,,,,,
